id,category,event_type,save_database,call_third_party
1,cpu.01,Performance,1,1
2,cpu.02,Performance,1,1
3,cpu.03,Performance,1,1
4,cpu.04,Performance,1,1
5,cpu.05,Temperature,1,1
6,cpu.06,Temperature,1,1
7,cpu.07,Temperature,1,1
8,mem.01,Performance,1,1
9,mem.02,Performance,1,1
10,mem.03,Performance,1,1
11,mem.04,Performance,1,1
12,mesh.01,Mesh,1,1
13,mesh.02,Mesh,1,1
14,mesh.03,Mesh,1,1
15,mesh.04,Mesh,1,1
16,mesh.05,Mesh,1,1
17,mesh.06,Mesh,1,1
18,mesh.07,Mesh,1,1
19,mesh.08,Mesh,1,1
20,sta.01,STA,2,0
21,sta.02,STA,2,0
22,sta.03,STA,2,0
23,sta.04,STA,2,0
24,sta.05,STA,2,0
25,sta.06,STA,2,0
26,sta.07,STA,2,0
27,sta.08,STA,2,0
28,sta.09,STA,2,0
29,sta.10,STA,2,0
30,sta.11,STA,2,0
31,sta.12,STA,2,0
32,sta.13,STA,2,0
33,sta.14,STA,2,0
34,eth.01,Ethernet,0,0
35,eth.02,Ethernet,0,0
36,optical.01,Temperature,0,0
37,optical.02,Temperature,0,0
38,optical.03,Temperature,0,0
